SMILES,N,ALogPS_logP,ALogPS_logS,HALOG,MW,N,NA,NH,O,P,PSA,S,SdCH2,SdssC,Se1C1C4s,Se1C2C2ss,Se1C2C3sd,Se1C2C3ss,Se1C3C3ds,Se1C3C4ss,Se2C1C3s,SsCH3,SssCH2,SsssCH,SssssC,aCNOS,ACCEPTORS,RBONDS,SaaCH,SaasC,SdO,SdO(ester),Se1C1C3s,Se1C1O2s,Se1C3Cl1a,Se1C3O2as,Se1C3O2ds,Se1C3O2ss,Se2C3O1s,SeaC2C2aa,SeaC2C3aa,SeaC3C3aa,SsCl,SssO,SssO(ester),DONORS,Se1C1C2s,Se1C2O1s,Se1C2O2ss,Se1C3O1s,SsOH,SsOH(alc),Se1C1C3d,Se1C2C4ss,Se1C4C4ss,SdsCH,Se1C2C2ds,Se2C2C2ss,SdO(keto),Se1C2C2dd,Se2C2O1s,SaaN,SaasN,Se1C1C3a,Se1C2N3sa,SeaC3N2aa,SeaC3N3aa,SeaN2N3aa,Se1C1C2d,Se1C2C3ds,Se1C3C3ss,Se2C2C3ss,SdO(acid),Se1C2S2ss,Se1C3N2as,Se1C3O1d,Se1C3S2as,SsOH(acid),SssNH,SssNH(ar),SssS,Se1C3C3as,Se1C3Cl1s,SdO(amid),Se1C2N3ss,Se1C3C4ds,Se1C3N2ds,Se1C3N3ds,Se1C4N3ss,SssNH(oth),SsssN,SsssN(oth),SaaaC,Se1C2C3sa,Se1C3C3ad,Se1C3N3da,Se1C2N2ss,Se1C2Si4ss,Se1C3N1d,Se1O2Si4ss,SsNH2,SsNH2(oth),SssssSi,Se1C2N1s,SsNH2(al),Se1N3Br1s,Se1N3Cl1s,SsBr,Se1C3C4as,Se1C4F1s,SsF,SdO(nitro),SddsN,SddsN(nitro),Se1C3N==ad,Se2NO2,Se1C2S1s,SsSH,Se1C1N3s,Se1C2N3ds,Se1C3C3dd,Se1C3O1a,SsOH(phen),Se2C1C2s,Se1C2C3dd,Se1C3N3as,Se1C1Si3s,Se1C1Si4s,Se1O2Si3ss,SsssSiH,SsssN(al),SeaC2N2aa,Se1C2C3da,Se1C2Br1s,Se1C3Cl1d,SdsN,Se1C3N2ad,Se2C3N2ss,Se1C2Si4ds,Se1C3N1a,SsNH2(ar),Se1C4O2ss,Se1C2C4ts,Se1C4O1s,Se3C1C2s,StCH,StsC,SssNH(al),Se1N2O1d,Se1C2C2st,Se3C2C2ss,Se1C3C3aa,Se1C2Cl1s,SdsssP,Se1O2P4sd,Se2O1P4s,SaaS,Se1C3S1a,SeaC3S2aa,Se1C2C3ts,Se3C2N1s,StN,Se1C4Br1s,Se1C3N2ss,Se1C3Br1a,Se1O2O2ss,Se1C2C3ta,Se1C2O2ds,Se1C3N2sd,Se1C3N3ss,Se2N2N2st,Se3N1N2d,StdN,Se2C3C3ss,SeaC2N3aa,Se1N1N3a,SeaN2N2aa,SdO(sulfo),SddssS,Se1N3S4ad,Se1N3S4sd,Se2O1S4d,Se1C4Cl1s,SdsN(nitro),Se2N2O1s,Se1C3S4ad,Se1N1S4d,Se1N3S2ss,Se1S2S2ss,SsssN(ar),Se1C3S2ds,Se1C4N2ss,Se1C2N2ds,Se1C3F1d,SdS,Se2C3S1s,Se1O1S4d,Se1O2S4sd,Se1N2S4sd,Se1C1S2s,SeaN2S2aa,Se2N2N2ss,Se1C2C4ds,Se1C4S2ss,Se2C2N2ss,Se1C1N2s,Se1C1S4d,Se1C4S4sd,Se1N2O2ds,SdssS,Se1C1S3d,Se1C4S3sd,Se2O1S3s,SaaO,Se1C3I1a,SeaC3O2aa,SsI,Se1C2S1t,Se1C3F1a,SeaN2O2aa,Se1P4S2ds,SaaNH,Se1C1N3a,SeaC2NHaa,SeaC3NHaa,SdssN,Se1C2N3psd,Se2C3N3pss,Se2P4S1s,Se1C1N4ps,Se1C2N4pss,SssssN,Se1C2S3sd,Se1C3S3ad,Se1C1P4d,Se1B3O1s,SsssB,Se1C3Br1d,Se1N2N3ds,Se1C2S4sd,Se1C3N2dd,Se1C3N3aa,Se1N2Cl1s,Se1N3O1s,Se1C3N3sa,Se1C3N1s,SeaC2S2aa,SeaC2O2aa,Se1N2O1s,Se1N2P4sd,Se1N3P4sd,Se1O1P4d,Se1C3S2ss,Se1C3S4sd,SdssPH,Se1O2P3sd,Se2O1P3s,Se1C1N3pa,SeaC3N3paa,SeaN3N3paa,Se1C3F1s,Se1O2P3ss,SsssP,SdsssAs,Se1C1As4d,Se1O1As4d,Se2O1As4s,Se1C1Sn4s,Se1Cl1Sn4s,SssssSn,Se1N2N==dd,Se1O2S3sd,Se1C3P4ad,Se1C4N2sd,Se1N2N3ss,Se1C3Si4as,Se2C1O1,Se1C2N1d,Se3As1In1,StAs,StIn,Se1N1N2s,Se1N3O2ss,Se1N2N2ss,Se1C3S1d,Se1C2C3td,Se1N1P4d,SdsSH,Se1C3S2ad,Se2C3S2ss,Se1N1N3s,Se1N2N2dd,Se1C3N2pss,SssNH2,SssNH2(al),SdsssN,SdsssN(oth),Se1C1N4d,Se1C2N4sd,Se2N4O1s,Se1C2S2ds,SaaaN,Se1N==O2ds,Se1C2S4dd,Se1C3P3as,Se1P3Cl1s,Se1C3Hg2as,Se1O2Hg2ss,SssHg,SdssSi,Se1C1Si3d,Se2O1Si3s,SddsCl,Se1O1Cl3d,Se2O1Cl3d,Se1N2N2ds,Se1C2N2sd,SdNH,SddN,Se2N1N2pd,SdsCl,Se1O1Cl2d,Se2O1Cl2s,Se1C2F1s,Se1B4F1s,SssssBH,Se1C2Cl1d,Se1C4N1s,Se1C4S1s,SeaN2NHaa,Se1C3P4sd,Se1C3Br1s,SaadN,SaadN(oth),Se2N3O1a,Se1C3N==dd,Se2C3N1s,Se1C4N==sd,Se1C2S2ts,Se1C2I1t,Se1C2N2td,Se1C2C2dt,SddC,Se2C2N2ds,Se2C2S1d,SsOH(zwit),Se1C2Sn4ss,Se1O1O2s,Se1C2N1t,Se1C2N2ts,Se1C3S4dd,Se1C2P4sd,Se1N3N3ss,Se1C1N3pd,Se1N2Si4ss,Se1C1N2d,Se1C1C2t,Se1C2N2dd,Se1C2N==sd,SdddN,SdddN(nitro),Se2N3O1d,SddSi,Se2O1Si2d,Se1B3C3sa,Se1N3pO1a,SeaC2N3paa
SC1=NC2=C(S1)C=CC=C2,189,2.37,-2.94,0,167.3,1,10,5,0,0,12.89,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,8.029,0.8344,0,0,0,0,0,0,0,0,0,6.18,3.273,1.011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.196,0,0,0,5.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.605,2.951,2.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COC1=CC(=CC=C1N)[N+]([O-])=O,190,1.64,-1.97,0,168.2,2,12,8,3,0,81.07,0,0,0,0,0,0,0,0,0,0,1.412,0,0,0,6,1,2,4.06,0.6883,20.58,0,0,3.129,0,3.074,0,0,0,1.704,4.461,0.631,0,4.806,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.453,0,0,0,0,0,0,0,0,0,0,20.58,-0.4981,-0.4981,0.3684,12.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.684,5.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COC1=CC=C(C)C=C1N,191,1.37,-0.79,0,137.2,1,10,11,1,0,35.25,0,0,0,0,0,0,0,0,0,0,3.608,0,0,0,6,1,1,5.721,2.589,0,0,0,3.212,0,3.202,0,0,0,2.012,6.202,0.8576,0,4.975,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.807,5.607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCCO,192,-0.78,1.03,0,76.11,0,5,8,2,0,29.46,0,0,0,0,0.5486,0,0,0,0,0,1.552,0.566,0,0,0,1,2,0,0,0,0,0,2.889,0,0,0,0,0,0,0,0,0,4.441,0,1,0,4.514,2.549,0,7.941,7.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COC1=C(O)C=CC=C1,193,1.35,-0.27,0,124.2,0,9,8,2,0,29.46,0,0,0,0,0,0,0,0,0,0,1.523,0,0,0,6,1,1,6.838,0.6921,0,0,0,3.11,0,3.041,0,0,0,5.591,2.44,0.581,0,4.795,0,1,0,0,0,0,8.986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.737,8.986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(O)CC(C)(C)O,194,0.34,0.14,0,118.2,0,8,14,2,0,40.46,0,0,0,2.161,0,0,0.5104,0,0,0,5.025,0.4375,-0.4074,-0.728,0,0,2,0,0,0,0,1.144,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5.242,17.76,17.76,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1=C(N)C=CC=C1,195,1.32,-1,0,107.2,1,8,9,0,0,26.02,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,7.804,2.014,0,0,0,0,0,0,0,0,0,6.111,3.231,1.139,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.794,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cl.CC1=CC=CC=C1N,196,1.32,-1,0,107.2,1,8,9,0,0,26.02,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,7.804,2.014,0,0,0,0,0,0,0,0,0,6.111,3.231,1.139,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.794,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC(C)COC(=O)CC(C)C,197,3.53,-2.69,0,172.3,0,12,20,2,0,26.3,0,0,-0.06454,0,0,0.5763,2.369,0,0,0,8.221,2.174,0.8848,0,0,2,6,0,0,11.05,11.05,4.52,0,0,0,2.954,0,6.797,0,0,0,0,5.067,5.067,0,1.742,0,3.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(CCC#N)C#N,198,0.03,-1.22,0,108.2,2,8,8,0,0,47.58,0,0,0,0,0.8536,0,0.6516,0,0,0,1.817,1.196,0.03671,0,0,2,4,0,0,0,0,1.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,1.563,0,0,0,0,0,0,0,0,0,1.469,11.19,16.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)C#N,199,0.5,-0.36,0,69.12,1,5,7,0,0,23.79,0,0,0,0,0,0,0,0,0,0,3.722,0,0.1898,0,0,1,1,0,0,0,0,2.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.028,0,0,0,0,0,0,0,0,0,0,0,0,1.458,5.407,7.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC1=CC=CC=C1[N+]([O-])=O,200,1.43,-1.84,0,138.1,2,10,6,2,0,71.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,6.101,0.162,20.3,0,0,0,0,0,0,0,0,5.399,2.306,0.5093,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28,0,0,0,0,0,0,0,0,0,0,20.3,-0.5046,-0.5046,0.3912,12.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.586,5.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC1=C(C=CC=C1)[N+]([O-])=O,201,1.91,-1.52,0,139.1,1,10,5,3,0,66.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,5.549,-0.5602,20.14,0,0,0,0,0,0,0,0,5.162,1.944,0.2593,0,0,0,1,0,0,0,0,8.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,-0.6296,-0.6296,0.2801,12.69,0,0,0,0,0,5.669,8.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
